company,country,city,email,allEmails,website,phone,quality,source,sourceUrl,serviceFit,complianceStatus,lastCheckedAt
"PT. TRANSLOG BUMI INDONESIA","Indonesia","","cs@transbumi.com","cs@transbumi.com","https://transbumi.com","+62 21 84344738","100","FIATA members directory","https://fiata.org/directory/id/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:28.151Z"
"AWH VENTURES SDN BHD","Malaysia","","sales@awh.com.my","sales@awh.com.my","http://www.awh.com.my","+60 7 251 5591","100","FIATA members directory","https://fiata.org/directory/my/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:27.192Z"
"ECO GLOBAL LOGISTICS SDN. BHD.","Malaysia","","enquiry@eglgroup.com.my","enquiry@eglgroup.com.my","https://www.eglgroup.com.my","+60 3 3323 3319","100","FIATA members directory","https://fiata.org/directory/my/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:27.192Z"
"PREMIUM GLOBAL LOGISTICS SDN BHD","Malaysia","","sales@pglogistics.com.my","sales@pglogistics.com.my","http://www.pglogisticskul.com","+60 3 3325 9098","100","FIATA members directory","https://fiata.org/directory/my/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:27.194Z"
"TRANSAIRMARINE FREIGHT SERVICES SDN BHD","Malaysia","","enquiry@tfs.net.my","enquiry@tfs.net.my","http://www.tfs.net.my","+60 4 262 2518","100","FIATA members directory","https://fiata.org/directory/my/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:27.194Z"
"WORLDGATE EXPRESS SERVICES SDN BHD","Malaysia","","enquiry@worldgate.com.my","enquiry@worldgate.com.my","http://www.worldgate.com.my","+60 3 8060 3433","100","FIATA members directory","https://fiata.org/directory/my/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:27.195Z"
"MACE LOGISTICS CORP.","Philippines","","info@macelogistics.com","info@macelogistics.com","https://www.macelogistics.com","+63 2 8682 4671","100","FIATA members directory","https://fiata.org/directory/ph/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:29.071Z"
"ALLIANCE INTERNATIONAL LOGISTICS CO., LTD.","Vietnam","","info@ailglobal.net","info@ailglobal.net","http://www.ailglobal.net","+84 838 112 868","100","FIATA members directory","https://fiata.org/directory/vn/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:30.069Z"
"ALP LOGISTICS., JSC","Vietnam","","cs@alp.vn","cs@alp.vn","http://www.alp.vn","+84 24 3516 1648","100","FIATA members directory","https://fiata.org/directory/vn/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:30.069Z"
"APPLE TRANS CO., LTD","Vietnam","","sales@appletransvn.com","sales@appletransvn.com","https://www.appletransvn.com","+84 909 891 385","100","FIATA members directory","https://fiata.org/directory/vn/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:30.069Z"
"ASEAN LINES INTERNATIONAL CO. LTD","Vietnam","","admin@aseanlines.com","admin@aseanlines.com","http://www.aseanlines.com","+84 28 3521 0488","100","FIATA members directory","https://fiata.org/directory/vn/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:30.070Z"
"ASIA LOGISTICS AND TRADING JSC","Vietnam","","info@ashicologistics.com.vn","info@ashicologistics.com.vn","http://www.ashicologistics.com.vn","+84 225 3757 268","100","FIATA members directory","https://fiata.org/directory/vn/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:30.070Z"
"BEE LOGISTICS CORPORATION","Vietnam","","info@beelogistics.com","info@beelogistics.com","http://www.beelogistics.com","+84 862 647 272","100","FIATA members directory","https://fiata.org/directory/vn/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:30.070Z"
"DOLPHIN SEA AIR SERVICES CORPORATION","Vietnam","","marketing@dolphinseaair.com","marketing@dolphinseaair.com","http://www.dolphinseaair.com","+84 28 6264 7222","100","FIATA members directory","https://fiata.org/directory/vn/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:30.071Z"
"DUC VIET (CARGOTEAM) CO., LTD","Vietnam","","info@cargoteamvn.com","info@cargoteamvn.com","http://www.cargoteamvn.com","+84 28 3742 3777","100","FIATA members directory","https://fiata.org/directory/vn/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:30.072Z"
"FGS LOGISTICS COMPANY LTD","Vietnam","","info@fgslogistics.com","info@fgslogistics.com","http://www.fgslogistics.com","+84 28 3910 6300","100","FIATA members directory","https://fiata.org/directory/vn/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:30.072Z"
"HEADWAY JSC","Vietnam","","info@headway.com.vn","info@headway.com.vn","http://www.headway.com.vn","+84 838 269 171","100","FIATA members directory","https://fiata.org/directory/vn/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:30.074Z"
"ACTIVE LOGISTICS LIMITED","Bangladesh","","info@activelogbd.com","info@activelogbd.com","https://activelogbd.com/","","95","FIATA members directory","https://fiata.org/directory/bd/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:31.942Z"
"AHONA FREIGHT EXPRESS","Bangladesh","","anis@asfexp.com","anis@asfexp.com","http://www.ahonafreight.com","+880 1720 102012","95","FIATA members directory","https://fiata.org/directory/bd/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:31.942Z"
"AKIJ LOGISTICS LIMITED","Bangladesh","","gm.ff@akijlogistics.com","gm.ff@akijlogistics.com","https://akijresource.com/akij-logistics-limited/","+880 1325 00865","95","FIATA members directory","https://fiata.org/directory/bd/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:31.943Z"
"ANBE FREIGHT LIMITED","Bangladesh","","a.ahmed@anbe-bd.com","a.ahmed@anbe-bd.com","http://www.anbe-bd.com","+880 2 7912768","95","FIATA members directory","https://fiata.org/directory/bd/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:31.943Z"
"ANCHOR FREIGHT LIMITED","Bangladesh","","huda@afl-bd.com","huda@afl-bd.com","http://www.afl-bd.com","+880 1844 525840","95","FIATA members directory","https://fiata.org/directory/bd/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:31.943Z"
"APS LOGISTICS INTERNATIONAL LTD.","Bangladesh","","infobd@aps-logistics.com","infobd@aps-logistics.com","http://www.aps-logistics.com","+880 2 9858580","95","FIATA members directory","https://fiata.org/directory/bd/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:31.943Z"
"BADAL AND COMPANY","Bangladesh","","cusdac1@badalandco.com","cusdac1@badalandco.com","http://www.badalandco.com","+880 2 44815029","95","FIATA members directory","https://fiata.org/directory/bd/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:31.943Z"
"CARGO ONE LIMITED","Bangladesh","","rajaul@cargoonelimited.com","rajaul@cargoonelimited.com","http://www.cargoonelimited.com","+880 2 48957668","95","FIATA members directory","https://fiata.org/directory/bd/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:31.943Z"
"COAST LINK LOGISTICS","Bangladesh","","co@coastlinkbd.com","co@coastlinkbd.com","https://coastlinkbd.com/","+880 24108061920","95","FIATA members directory","https://fiata.org/directory/bd/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:31.943Z"
"CONVEYOR LOGISTICS LTD.","Bangladesh","","conveyor@conveyor.com.bd","conveyor@conveyor.com.bd","http://www.conveyor.com.bd","+880 2 8811817","95","FIATA members directory","https://fiata.org/directory/bd/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:31.943Z"
"CROSS FREIGHT LTD.","Bangladesh","","riasat.fahim@crossfreight-bd.com","riasat.fahim@crossfreight-bd.com","http://www.crossfreight-bd.com","+880 2 9889825","95","FIATA members directory","https://fiata.org/directory/bd/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:31.944Z"
"DART GLOBAL LOGISTICS (PVT) LTD.","Bangladesh","","infobd@dartglobal.com","infobd@dartglobal.com","http://www.dart-global.com","+880 2 8821453","95","FIATA members directory","https://fiata.org/directory/bd/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:31.944Z"
"EXPO FREIGHT LIMITED","Bangladesh","","bgd-dhk-finance@expofreight.com","bgd-dhk-finance@expofreight.com","http://www.expofreight.com","+880 2 9846728","95","FIATA members directory","https://fiata.org/directory/bd/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:31.944Z"
"FILBERT LOGISTICS LTD","Bangladesh","","mamun@filbert-logistics.com","mamun@filbert-logistics.com","https://filbert-logistics.com/","+880 2 9832529","95","FIATA members directory","https://fiata.org/directory/bd/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:31.944Z"
"FREIGHT MANAGEMENT LTD","Bangladesh","","ansar@fml-bd.com","ansar@fml-bd.com","http://www.fml-bd.com","+880 2 9345924","95","FIATA members directory","https://fiata.org/directory/bd/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:31.944Z"
"FREIGHTFIRM BD LIMITED","Bangladesh","","sabuj@freightfirm.com.bd","sabuj@freightfirm.com.bd","https://www.freightfirm.com.bd","+880 2224 470887","95","FIATA members directory","https://fiata.org/directory/bd/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:31.944Z"
"GEODIS BANGLADESH LIMITED","Bangladesh","","asif.newaz@geodis.com","asif.newaz@geodis.com","http://www.geodis.com","+880 2 9895778","95","FIATA members directory","https://fiata.org/directory/bd/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:31.944Z"
"GLOBE FORWARDING & FREIGHT LTD","Bangladesh","","adnan@gffl-move.com","adnan@gffl-move.com","http://www.gffl-move.com","+880 8952 030","95","FIATA members directory","https://fiata.org/directory/bd/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:31.944Z"
"HOMEBOUND PACKERS & SHIPPERS LTD.","Bangladesh","","michelle.quiah@homeboundbd.com","michelle.quiah@homeboundbd.com","http://www.homeboundbd.com","+880 2222 294745","95","FIATA members directory","https://fiata.org/directory/bd/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:31.944Z"
"KUEHNE + NAGEL LTD.","Bangladesh","","tanjirur.rahman@kuehne-nagel.com","tanjirur.rahman@kuehne-nagel.com","http://www.kuehne-nagel.com","+880 9612 884882","95","FIATA members directory","https://fiata.org/directory/bd/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:31.945Z"
"NAVANA LOGISTICS LTD.","Bangladesh","","showkat@navana-logistics.com","showkat@navana-logistics.com","http://www.navana-logistics.com","+880 2 58810836","95","FIATA members directory","https://fiata.org/directory/bd/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:31.945Z"
"NOVO AVIATION SERVICES LTD.","Bangladesh","","rahman@novocargo.net","rahman@novocargo.net","http://www.novoaviation.com","+880 2 8870901","95","FIATA members directory","https://fiata.org/directory/bd/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:31.945Z"
"RELIENCE SHIPPING AND LOGISTICS LTD.","Bangladesh","","management@rxlbd.com","management@rxlbd.com","https://www.rxlbd.com","+880 2333316684","95","FIATA members directory","https://fiata.org/directory/bd/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:31.945Z"
"SOUTH EAST ASIA ENTERPRISE","Bangladesh","","mominul.islam@seae-bd.com","mominul.islam@seae-bd.com","https://seae-bd.com","+880 2 48950547","95","FIATA members directory","https://fiata.org/directory/bd/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:31.945Z"
"UNIQUE LOGISTICS LTD","Bangladesh","","mowla@ullbd.com","mowla@ullbd.com","http://www.ullbd.com","+880 2 8870993","95","FIATA members directory","https://fiata.org/directory/bd/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:31.946Z"
"UNIWORLD LOGISTICS LIMITED","Bangladesh","","mahmud@wingsbangladesh.com","mahmud@wingsbangladesh.com","http://www.uniworldbd.com","+880 2 9885747","95","FIATA members directory","https://fiata.org/directory/bd/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:31.947Z"
"URANUS FREIGHT LOGISTICS LTD","Bangladesh","","nicholas@uranusfreight.com","nicholas@uranusfreight.com","http://www.uranusfreight.com/","+880 2 8900184","95","FIATA members directory","https://fiata.org/directory/bd/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:31.947Z"
"WORLD PORT LOGISTICS LTD.","Bangladesh","","vitu@wplbd.com","vitu@wplbd.com","http://www.wplbd.com","+880 2 8833901","95","FIATA members directory","https://fiata.org/directory/bd/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:31.947Z"
"AMBE LOGISTICS LIMITED","Bangladesh","","zahid@ambebd.com","zahid@ambebd.com","https://www.ambebd.com/","+880 1712 081893","95","FIATA members directory","https://fiata.org/directory/bd/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:31.947Z"
"CAMBODIA LOGISTICS ASSOCIATION - CLA","Cambodia","","secretary@cla.org.kh","secretary@cla.org.kh","http://www.cla.org.kh","+855 23 884 990","95","FIATA members directory","https://fiata.org/directory/kh/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:31.004Z"
"KUEHNE + NAGEL LTD.","Cambodia","","sophea.kim@kuehne-nagel.com","sophea.kim@kuehne-nagel.com","http://www.kuehne-nagel.com","+855 23 986 898","95","FIATA members directory","https://fiata.org/directory/kh/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:31.004Z"
"LNL (CAMBODIA) CO., LTD.","Cambodia","","info@lnlcambodia.com","info@lnlcambodia.com","http://www.lnlcambodia.com","","95","FIATA members directory","https://fiata.org/directory/kh/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:31.005Z"
"WORLDBRIDGE INTERNATIONAL (CAMBODIA) LTD.","Cambodia","","jering_lim@worldbridge.com.kh","jering_lim@worldbridge.com.kh","http://www.worldbridge.com.kh","+855 23 224 452","95","FIATA members directory","https://fiata.org/directory/kh/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:31.005Z"
"CAMAJOR CARGO CO., LTD","Cambodia","","camajor@camajorcargo.com","camajor@camajorcargo.com","https://www.camajorcargo.com/","+855 23 901 783","95","FIATA members directory","https://fiata.org/directory/kh/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:31.005Z"
"FAIR & EASY (CAMBODIA) CO., LTD.","Cambodia","","pnh@fairandeasy.com.kh","pnh@fairandeasy.com.kh","https://www.fairandeasy.com.kh/","+855 23 901 749","95","FIATA members directory","https://fiata.org/directory/kh/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:31.005Z"
"R.N.Y TRANSPORT CO., LTD","Cambodia","","pamela@rnytransport.com","pamela@rnytransport.com","https://rnytransport.com","+855 96 951 3402","95","FIATA members directory","https://fiata.org/directory/kh/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:31.006Z"
"SPEED LOGISTICS & TRANSPORTATION (CAMBODIA) CO., LTD.","Cambodia","","vadhana@speed2006.com","vadhana@speed2006.com","https://SPEEDLOGKH.COM","+855 12 877 168","95","FIATA members directory","https://fiata.org/directory/kh/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:31.006Z"
"FEDERATION OF FREIGHT FORWARDERS&#39; ASSOCIATIONS IN INDIA - FFFAI","India","","info@fffai.org","info@fffai.org","http://www.fffai.org","","95","FIATA members directory","https://fiata.org/directory/in/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:26.183Z"
"THE AIR CARGO AGENTS ASSOCIATION OF INDIA - ACAAI -","India","","headoffice@acaai.in","headoffice@acaai.in","http://www.acaai.in","+91 22 2202 1923","95","FIATA members directory","https://fiata.org/directory/in/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:26.185Z"
"A HARTRODT INDIA PRIVATE LIMITED","India","","ajay.bhatt@hartrodt.com","ajay.bhatt@hartrodt.com","http://www.hartrodt.com","+91 124 495 4050","95","FIATA members directory","https://fiata.org/directory/in/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:26.186Z"
"A2Z LOGISTICS INDIA PVT LTD","India","","ramesh@a2zlogistics.in","ramesh@a2zlogistics.in","http://www.a2zlogistics.in","+91 44 4558 8023","95","FIATA members directory","https://fiata.org/directory/in/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:26.186Z"
"AARDOUR WORLDWIDE LOGISTICS PVT LTD","India","","sandeep@aardour.com","sandeep@aardour.com","http://www.aardour.com","+91 98990 00959","95","FIATA members directory","https://fiata.org/directory/in/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:26.186Z"
"AARGUS GLOBAL LOGISTICS PVT. LTD.","India","","indira@aargusglobal.com","indira@aargusglobal.com","http://www.aargusglobal.com","+91 11 2506 9632","95","FIATA members directory","https://fiata.org/directory/in/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:26.186Z"
"AB SHIPPING AND FORWARDING PRIVATE LIMITED","India","","santosh@abshipping.in","santosh@abshipping.in","http://www.abshipping.in/","+91 11 4168 6363","95","FIATA members directory","https://fiata.org/directory/in/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:26.187Z"
"ABF FREIGHT INTERNATIONAL PVT. LTD.","India","","management@abffreights.com","management@abffreights.com","http://www.abffreights.com","+91 824 245 8333","95","FIATA members directory","https://fiata.org/directory/in/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:26.187Z"
"ABHI IMPACT LOGISTICS SOLUTIONS PRIVATE LIMITED","India","","jitendra.joshi@impact-logistics.in","jitendra.joshi@impact-logistics.in","http://www.impact-logistics.in","+91 20 6607 3050","95","FIATA members directory","https://fiata.org/directory/in/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:26.187Z"
"ABS LOGISTICS PVT. LTD.","India","","abhishek@abslogistics.in","abhishek@abslogistics.in","http://www.abslogistics.in","+91 11 4929 9500","95","FIATA members directory","https://fiata.org/directory/in/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:26.187Z"
"ABSCO LOGISTICS PRIVATE LIMITED","India","","siva@absco.in","siva@absco.in","http://www.absco.in","+91 22 2758 4657","95","FIATA members directory","https://fiata.org/directory/in/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:26.187Z"
"ACE EXPRESS LOGISTICS PRIVATE LIMITED","India","","asmitas@aeindia.co.in","asmitas@aeindia.co.in","http://www.aeindia.co.in","+91 90030 57855","95","FIATA members directory","https://fiata.org/directory/in/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:26.187Z"
"ACE FORWARDERS PVT LTD","India","","ameya@aceclearing.com","ameya@aceclearing.com","http://www.aceclearing.com","+91 22 2775 7444","95","FIATA members directory","https://fiata.org/directory/in/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:26.187Z"
"ADMIRAL HITEC LOGISTICS (INDIA) PRIVATE LIMITED","India","","chavan@admirallogistics.com","chavan@admirallogistics.com","http://www.admirallogistics.com","+91 40 2789 2361","95","FIATA members directory","https://fiata.org/directory/in/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:26.188Z"
"AEROMAR LOGISTICS (I) PVT. LTD.","India","","email-ganesh.p@aeromarlogistics.com","email-ganesh.p@aeromarlogistics.com","http://www.aeromarlogistics.com","+91 22 6617 9797","95","FIATA members directory","https://fiata.org/directory/in/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:26.188Z"
"AGILIS LOGISTICS INDIA LLP","India","","ds@agilisllp.in","ds@agilisllp.in","https://www.agilislogistics.in","+91 79 4007 6464","95","FIATA members directory","https://fiata.org/directory/in/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:26.189Z"
