company_name,region,founded_year,website,email,source,notes
MOL LOGISTICS (HONG KONG) LTD.,香港,,http://www.mol-logistics.com.hk,mlghk.admin@molgroup.com,FIATA/HAFFA member directory (https://fiata.org/directory/hk/),founded_year not found
MONDIALE VGL LIMITED,香港,,http://www.ciff.com.hk,justin.bentley@mondialevgl.com,FIATA/HAFFA member directory (https://fiata.org/directory/hk/),robots.txt disallows
MULTI-GOLD AIR & SEA EXPRESS LTD.,香港,,http://www.mgairsea.com.hk,mgairsea@mgairsea.com.hk,FIATA/HAFFA member directory (https://fiata.org/directory/hk/),founded_year not found
NAF GLOBAL LOGISTICS LIMITED,香港,,http://www.naffreight.com,caroline.yu@naffreight.com,FIATA/HAFFA member directory (https://fiata.org/directory/hk/),founded_year not found
OCEAN CROWN SHIPPING LIMITED,香港,,http://www.oceancrown.com.hk,opdept@oceancrown.com.hk,FIATA/HAFFA member directory (https://fiata.org/directory/hk/),founded_year not found
ON TIME EXPRESS LIMITED,香港,,http://www.ontime-express.com,ian.so@hkg.ontime-express.com,FIATA/HAFFA member directory (https://fiata.org/directory/hk/),robots.txt disallows
OTS FORWARDING (HK) LTD,香港,,http://www.otsspa.com,info@ots.com.hk,FIATA/HAFFA member directory (https://fiata.org/directory/hk/),robots.txt disallows
PARISI GRAND SMOOTH LOGISTICS LTD,香港,,http://www.pgs-log.com,helmut@parisigs.com,FIATA/HAFFA member directory (https://fiata.org/directory/hk/),founded_year not found
"PROACTIVE GLOBAL LOGISTICS CO., LTD",香港,,http://www.proactive-gl.com,tim.ng@proactive-gl.com,FIATA/HAFFA member directory (https://fiata.org/directory/hk/),founded_year not found
ROHLIG HONG KONG LIMITED,香港,,http://www.rohlig.com,info.hk@rohlig.com,FIATA/HAFFA member directory (https://fiata.org/directory/hk/),founded_year not found
SEA-AIR LOGISTICS (HONG KONG) LTD.,香港,,http://www.seaairlogistics.com,ruby.yuen@sal.hk,FIATA/HAFFA member directory (https://fiata.org/directory/hk/),robots.txt disallows
SEIYO GLOBAL LOGISTICS (ASIA) LTD,香港,,http://www.seiyo.com.hk,joanne@seiyo.com.hk,FIATA/HAFFA member directory (https://fiata.org/directory/hk/),founded_year not found
SHARP INTERNATIONAL CARGO SERVICES LTD.,香港,,http://www.sisharp.com,admin@sisharp.com,FIATA/HAFFA member directory (https://fiata.org/directory/hk/),founded_year not found
SHIPAIR EXPRESS (HK) LTD,香港,,http://www.shipair.com.hk,shipair@shipair.com.hk,FIATA/HAFFA member directory (https://fiata.org/directory/hk/),founded_year not found
"SOONEST EXPRESS (H.K.) CO., LTD.",香港,,http://www.soonest.com,ac_hk@soonest.com,FIATA/HAFFA member directory (https://fiata.org/directory/hk/),founded_year not found
TRANS-AM AIR FREIGHT (HK) LTD.,香港,,http://www.trans-am.com.hk,fanny.lee@trans-am.com.hk,FIATA/HAFFA member directory (https://fiata.org/directory/hk/),founded_year not found
TRANSPORT GROUPAGE INTERNATIONAL (HK) LTD.,香港,,http://www.tgihk.com.hk,eric@tgihk.com.hk,FIATA/HAFFA member directory (https://fiata.org/directory/hk/),founded_year not found
U-OCEAN LIMITED,香港,,http://www.ufreight.com,hkghr@ufreight.com,FIATA/HAFFA member directory (https://fiata.org/directory/hk/),founded_year not found
UNIQUE LOGISTICS INTERNATIONAL (H.K.) LTD.,香港,,http://www.uniquehk.com,jenny.tam.hkg@unique-usa.com,FIATA/HAFFA member directory (https://fiata.org/directory/hk/),founded_year not found
UNITED AIR SERVICE (HONG KONG) LIMITED,香港,,https://www.unitedairservice.com,uas@unitedairservice.com,FIATA/HAFFA member directory (https://fiata.org/directory/hk/),robots.txt disallows
UNITEX INT'L FORWARDING (HK) LIMITED,香港,,http://www.unitexlogistics.com,hongkong@uif.com.hk,FIATA/HAFFA member directory (https://fiata.org/directory/hk/),founded_year not found
UP SWING AGENCY LTD.,香港,,http://www.upswing.com.hk,gary@upswing.com.hk,FIATA/HAFFA member directory (https://fiata.org/directory/hk/),robots.txt disallows
WANGFOONG TRANSPORTATION LTD.,香港,,http://www.wangfoong.com.hk,wfinfo@wangfoong.com.hk,FIATA/HAFFA member directory (https://fiata.org/directory/hk/),founded_year not found
WORLDTRANS AIR-SEA SERVICE LTD,香港,,https://www.worldtrans.com.hk,general@worldtrans.com.hk,FIATA/HAFFA member directory (https://fiata.org/directory/hk/),robots.txt disallows
EXECUTIVE NETWORKS LIMITED DBA: NEUTRAL AIR PARTNER,香港,,https://neutralairpartner.com,christos@neutralairpartner.com,FIATA/HAFFA member directory (https://fiata.org/directory/hk/),robots.txt disallows
QUALITY RED SHIPPING LINE LIMITED,香港,,https://www.qualityred-sl.com,info@qualityred-sl.com,FIATA/HAFFA member directory (https://fiata.org/directory/hk/),robots.txt disallows
